ano_ocorrencia,mes_ocorrencia,distrito_geosampa,subtracoes_total,roubos,furtos
2025,6,PERUS,56,27,29
2025,6,PINHEIROS,367,104,263
2025,6,PIRITUBA,104,51,53
2025,6,PONTE RASA,29,18,11
2025,6,RAPOSO TAVARES,46,35,11
2025,6,REPUBLICA,439,118,321
2025,6,RIO PEQUENO,52,31,21
2025,6,SACOMA,149,84,65
2025,6,SANTA CECILIA,164,66,98
2025,6,SANTANA,198,53,145
2025,6,SANTO AMARO,243,93,150
2025,6,SAO DOMINGOS,27,13,14
2025,6,SAO LUCAS,57,27,30
2025,6,SAO MATEUS,130,81,49
2025,6,SAO MIGUEL,83,40,43
2025,6,SAO RAFAEL,41,29,12
2025,6,SAPOPEMBA,80,55,25
2025,6,SAUDE,76,43,33
2025,6,SE,292,94,198
2025,6,SOCORRO,37,13,24
2025,6,TATUAPE,176,57,119
2025,6,TREMEMBE,56,26,30
2025,6,TUCURUVI,47,15,32
2025,6,VILA ANDRADE,100,63,37
2025,6,VILA CURUCA,64,34,30
2025,6,VILA FORMOSA,46,14,32
2025,6,VILA GUILHERME,74,13,61
2025,6,VILA JACUI,52,24,28
2025,6,VILA LEOPOLDINA,63,24,39
2025,6,VILA MARIA,115,54,61
2025,6,VILA MARIANA,212,62,150
2025,6,VILA MATILDE,51,27,24
2025,6,VILA MEDEIROS,40,16,24
2025,6,VILA PRUDENTE,104,54,50
2025,6,VILA SONIA,82,36,46
2025,7,AGUA RASA,61,30,31
2025,7,ALTO DE PINHEIROS,43,16,27
2025,7,ANHANGUERA,19,9,10
2025,7,ARICANDUVA,39,21,18
2025,7,ARTUR ALVIM,55,26,29
2025,7,BARRA FUNDA,191,40,151
2025,7,BELA VISTA,308,61,247
2025,7,BELEM,125,42,83
2025,7,BOM RETIRO,227,66,161
2025,7,BRAS,342,59,283
2025,7,BRASILANDIA,87,43,44
2025,7,BUTANTA,116,48,68
2025,7,CACHOEIRINHA,58,20,38
2025,7,CAMBUCI,79,20,59
2025,7,CAMPO BELO,63,31,32
2025,7,CAMPO GRANDE,107,66,41
2025,7,CAMPO LIMPO,171,132,39
2025,7,CANGAIBA,43,23,20
2025,7,CAPAO REDONDO,337,237,100
2025,7,CARRAO,30,13,17
2025,7,CASA VERDE,87,27,60
2025,7,CIDADE ADEMAR,87,43,44
2025,7,CIDADE DUTRA,123,62,61
2025,7,CIDADE LIDER,44,25,19
2025,7,CIDADE TIRADENTES,97,61,36
2025,7,CONSOLACAO,280,51,229
2025,7,CURSINO,109,41,69
2025,7,ERMELINO MATARAZZO,40,21,19
2025,7,FREGUESIA DO O,87,57,30
2025,7,GRAJAU,161,92,69
2025,7,GUAIANASES,105,47,58
2025,7,IGUATEMI,60,31,29
2025,7,IPIRANGA,220,72,148
2025,7,ITAIM BIBI,366,138,228
2025,7,ITAIM PAULISTA,110,56,54
2025,7,ITAQUERA,133,53,80
2025,7,JABAQUARA,111,60,51
2025,7,JACANA,38,23,15
2025,7,JAGUARA,27,13,14
2025,7,JAGUARE,38,13,25
2025,7,JARAGUA,75,47,28
2025,7,JARDIM ANGELA,252,205,47
2025,7,JARDIM HELENA,50,30,20
2025,7,JARDIM PAULISTA,170,48,122
2025,7,JARDIM SAO LUIS,219,141,78
2025,7,JOSE BONIFACIO,53,27,26
2025,7,LAJEADO,94,54,40
2025,7,LAPA,160,69,91
2025,7,LIBERDADE,224,40,184
2025,7,LIMAO,74,22,52
2025,7,MANDAQUI,37,10,27
2025,7,MOEMA,173,45,128
2025,7,MOOCA,141,34,107
2025,7,MORUMBI,90,41,49
2025,7,PARELHEIROS,40,25,15
2025,7,PARI,113,38,75
2025,7,PARQUE DO CARMO,64,26,38
2025,7,PEDREIRA,47,28,19
2025,7,PENHA,108,47,61
2025,7,PERDIZES,141,40,101
2025,7,PERUS,64,26,38
2025,7,PINHEIROS,410,131,279
2025,7,PIRITUBA,101,54,47
2025,7,PONTE RASA,30,19,11
2025,7,RAPOSO TAVARES,49,38,11
2025,7,REPUBLICA,362,116,246
2025,7,RIO PEQUENO,73,57,16
2025,7,SACOMA,125,55,70
2025,7,SANTA CECILIA,173,57,116
2025,7,SANTANA,231,73,158
2025,7,SANTO AMARO,276,89,187
2025,7,SAO DOMINGOS,44,27,17
2025,7,SAO LUCAS,28,18,10
2025,7,SAO MATEUS,136,73,63
2025,7,SAO MIGUEL,78,29,49
2025,7,SAO RAFAEL,55,38,17
2025,7,SAPOPEMBA,98,66,32
2025,7,SAUDE,94,53,41
2025,7,SE,357,76,281
2025,7,SOCORRO,57,30,27
2025,7,TATUAPE,184,66,118
2025,7,TREMEMBE,63,26,37
2025,7,TUCURUVI,39,11,28
2025,7,VILA ANDRADE,126,84,42
2025,7,VILA CURUCA,75,42,33
2025,7,VILA FORMOSA,48,26,22
2025,7,VILA GUILHERME,63,12,51
2025,7,VILA JACUI,68,39,29
2025,7,VILA LEOPOLDINA,57,17,40
2025,7,VILA MARIA,104,46,58
2025,7,VILA MARIANA,251,72,179
2025,7,VILA MATILDE,78,46,32
2025,7,VILA MEDEIROS,32,10,22
2025,7,VILA PRUDENTE,87,43,44
2025,7,VILA SONIA,54,18,36
2025,8,AGUA RASA,40,21,19
2025,8,ALTO DE PINHEIROS,33,15,18
2025,8,ANHANGUERA,33,12,21
2025,8,ARICANDUVA,34,17,17
2025,8,ARTUR ALVIM,41,21,20
2025,8,BARRA FUNDA,161,38,123
2025,8,BELA VISTA,368,75,293
2025,8,BELEM,143,34,109
2025,8,BOM RETIRO,178,40,138
2025,8,BRAS,332,67,265
2025,8,BRASILANDIA,82,43,39
2025,8,BUTANTA,89,20,69
2025,8,CACHOEIRINHA,55,18,37
2025,8,CAMBUCI,81,24,57
2025,8,CAMPO BELO,89,33,56
2025,8,CAMPO GRANDE,78,27,51
2025,8,CAMPO LIMPO,258,210,48
2025,8,CANGAIBA,62,29,33
2025,8,CAPAO REDONDO,356,275,81
2025,8,CARRAO,23,12,11
2025,8,CASA VERDE,78,32,46
2025,8,CIDADE ADEMAR,99,45,54
2025,8,CIDADE DUTRA,119,73,46
2025,8,CIDADE LIDER,24,14,10
2025,8,CIDADE TIRADENTES,104,63,41
